,Наименование,Тип жилья,Общая площадь,Жилая площадь,Площадь кухни,Высота потолков,Санузел,Ремонт,Год постройки,Мусоропровод,Тип дома,Тип перекрытий,Подъезды,Отопление,Аварийность,Этаж,Адрес,Цена,Балкон/лоджия,Вид из окон,Количество лифтов,Парковка,Газоснабжение,Строительная серия
210,1-комн. квартира,Вторичка,"35,9",18,9,"2,6 м",1 раздельный,Косметический,1989,Да,Кирпичный,Железобетонные,4,Центральное,Нет,3 из 10,"Нижегородская область, Нижний Новгород, р-н Советский, мкр. Лапшиха, Агрономическая ул., 134На карте",4 900 000 ₽,,Во двор,1 пассажирский,,,
211,3-комн. квартира,Вторичка,"60,9","43,8","7,4","2,9 м",1 раздельный,,1957,Да,Кирпичный,Железобетонные,,Котел/Квартирное отопление,Нет,1 из 2,"Нижегородская область, Нижний Новгород, р-н Советский, мкр. проспект Гагарина, Артельная ул., 6к1На карте",5 650 000 ₽,,,1 пассажирский,,Центральное,
212,1-комн. квартира,Вторичка,36,18,10,"2,65 м",1 совмещенный,,2018,Да,Блочный,Железобетонные,3,Центральное,Нет,5 из 10,"Нижегородская область, Нижний Новгород, р-н Нижегородский, мкр. Верхние Печеры, ул. Германа Лопатина, 7На карте",6 300 000 ₽,1 балкон,Во двор,1 пассажирский,,,
213,1-комн. квартира,Вторичка,100,75,12,"3,35 м",1 раздельный,Евроремонт,1937,Да,Кирпичный,Железобетонные,4,Центральное,Нет,3 из 6,"Нижегородская область, Нижний Новгород, р-н Нижегородский, мкр. Центр, ул. Минина, 1На карте",71 000 000 ₽,,Во двор,,,Центральное,
214,1-комн. квартира,Вторичка,"31,9","16,7","6,6",,1 совмещенный,Без ремонта,1974,Да,,Нет информации,1,Центральное,Нет,9 из 9,"Нижегородская область, Нижний Новгород, р-н Ленинский, мкр. Красная Этна, ул. Премудрова, 18к1На карте",3 700 000 ₽,1 балкон,,1 пассажирский,,Центральное,
215,2-комн. квартира,Вторичка,"37,8","20,8",6,,1 совмещенный,Косметический,1951,Да,Кирпичный,Железобетонные,3,Центральное,Нет,1 из 3,"Нижегородская область, Нижний Новгород, р-н Московский, мкр. Московский проспект, просп. Героев, 2На карте",3 700 000 ₽,,,,,Центральное,
216,2-комн. квартира,Вторичка,"45,4",29,6,"2,5 м",1 совмещенный,Без ремонта,1961,,Кирпичный,Железобетонные,4,Центральное,Нет,5 из 5,"Нижегородская область, Нижний Новгород, р-н Автозаводский, мкр. Автозавод, ул. Героя Юрия Смирнова, 19На карте",3 950 000 ₽,1 балкон,Во двор,,,Центральное,1-447
217,2-комн. квартира,Вторичка,"48,1","29,3","8,8","2,8 м",1 совмещенный,Евроремонт,1952,,Блочный,Деревянные,2,Центральное,Нет,1 из 2,"Нижегородская область, Нижний Новгород, р-н Ленинский, мкр. Двигатель Революции, пер. Паскаля, 6На карте",4 100 000 ₽,1 балкон,На улицу,,,Центральное,
218,2-комн. квартира,Вторичка,42,"28,4","4,3","3,2 м",1 раздельный,Косметический,1959,,Кирпичный,Железобетонные,4,Центральное,Нет,2 из 3,"Нижегородская область, Нижний Новгород, р-н Московский, мкр. Спортивный, ул. 50-летия Победы, 7На карте",4 350 000 ₽,,На улицу,,,Центральное,
219,1-комн. квартира,Вторичка,31,"18,9","5,4",,1 совмещенный,Евроремонт,1967,Да,Монолитный,Железобетонные,6,Центральное,Нет,5 из 5,"Нижегородская область, Нижний Новгород, р-н Ленинский, мкр. Ипподромный, просп. Ленина, 61к4На карте",4 590 000 ₽,1 балкон,Во двор,,,Центральное,
220,3-комн. квартира,Вторичка,"56,8","37,8","8,9","2,5 м",2 раздельных,Без ремонта,1983,Да,Панельный,Железобетонные,6,Центральное,Нет,9 из 9,"Нижегородская область, Нижний Новгород, р-н Автозаводский, мкр. Мончегорский, ул. Мончегорская, 16Ак2На карте",4 600 000 ₽,"1 лоджия, 1 балкон",Во двор,1 пассажирский,,Центральное,1-464
221,2-комн. квартира,Вторичка,45,28,"5,8",,1 совмещенный,Косметический,1964,Да,Кирпичный,Железобетонные,4,Центральное,Нет,3 из 5,"Нижегородская область, Нижний Новгород, р-н Советский, мкр. Нагорный, ул. Вячеслава Шишкова, 6к2На карте",4 800 000 ₽,1 балкон,,,,Центральное,
222,3-комн. квартира,Вторичка,"42,6","26,4","6,1",,1 совмещенный,Косметический,1962,,Кирпичный,Железобетонные,4,Центральное,Нет,5 из 5,"Нижегородская область, Нижний Новгород, р-н Сормовский, мкр. Дарьино, Юбилейный бул., 4На карте",4 900 000 ₽,1 балкон,,,,Центральное,
223,2-комн. квартира,Вторичка,"58,8",32,"8,8",,1 раздельный,Косметический,,Да,Панельный,,,,,2 из 9,"Нижегородская область, Нижний Новгород, р-н Московский, мкр. Спортивный, ул. Коминтерна, 6/1На карте",5 200 000 ₽,,На улицу,1 пассажирский,,,
224,3-комн. квартира,Вторичка,"62,2","43,5",7,,1 раздельный,Косметический,1979,Да,Панельный,Железобетонные,6,Центральное,Нет,9 из 9,"Нижегородская область, Нижний Новгород, р-н Автозаводский, мкр. Мончегорский, ул. Мончегорская, 3к1На карте",5 350 000 ₽,"1 лоджия, 1 балкон",,1 пассажирский,,Центральное,1-464
225,3-комн. квартира,Вторичка,"58,3",40,6,,1 раздельный,Косметический,1970,Да,Кирпичный,Железобетонные,6,Центральное,Нет,5 из 5,"Нижегородская область, Нижний Новгород, р-н Советский, мкр. Нагорный, ул. Козицкого, 5к3На карте",5 450 000 ₽,1 лоджия,,,,Центральное,
226,3-комн. квартира,Вторичка,"61,7","46,1",6,"2,5 м",1 раздельный,Без ремонта,2000,Да,Панельный,Железобетонные,4,Центральное,Нет,4 из 5,"Нижегородская область, Нижний Новгород, р-н Советский, мкр. Кузнечиха, ул. Героя Быкова, 1На карте",5 450 000 ₽,1 балкон,Во двор,,,Центральное,
227,1-комн. квартира,Вторичка,41,"16,9","8,1",,1 раздельный,,2000,Да,Кирпичный,Железобетонные,1,Центральное,Нет,3 из 16,"Нижегородская область, Нижний Новгород, р-н Нижегородский, мкр. Верхние Печеры, Казанское ш., 1На карте",5 800 000 ₽,1 балкон,,1 пассажирский,,,
228,2-комн. квартира,Вторичка,"44,6",29,"5,9",,1 совмещенный,Дизайнерский,1972,,Панельный,Железобетонные,6,Центральное,Нет,4 из 5,"Нижегородская область, Нижний Новгород, р-н Автозаводский, мкр. Северный, просп. Бусыгина, 30На карте",5 900 000 ₽,1 балкон,,,,Центральное,1-464А
229,3-комн. квартира,Вторичка,"60,2","38,6","7,7","2,5 м",1 раздельный,Евроремонт,1986,Да,Кирпичный,Железобетонные,10,Центральное,Нет,5 из 9,"Нижегородская область, Нижний Новгород, р-н Автозаводский, мкр. Мончегорский, ул. Мончегорская, 18к2На карте",5 950 000 ₽,1 балкон,,1 пассажирский,,,
230,2-комн. квартира,Вторичка,"44,3","31,1",6,"2,5 м",1 совмещенный,,1965,,Кирпичный,Железобетонные,4,Центральное,Нет,2 из 5,"Нижегородская область, Нижний Новгород, р-н Советский, мкр. Высоково, ул. Ванеева, 79На карте",6 100 000 ₽,,,,,Центральное,
231,3-комн. квартира,Вторичка,"59,1",38,"9,1","2,55 м",1 раздельный,Косметический,1991,Да,Панельный,Железобетонные,3,Центральное,Нет,8 из 9,"Нижегородская область, Нижний Новгород, р-н Приокский, мкр. Дубенки, Горная ул., 12На карте",6 800 000 ₽,1 балкон,,1 пассажирский,,Центральное,
232,2-комн. квартира,Вторичка,53,25,14,,1 раздельный,Косметический,2022,Да,,Нет информации,6,Нет информации,Нет,6 из 10,"Нижегородская область, Нижний Новгород, р-н Советский, мкр. Кузнечиха, ул. Новокузнечихинская, 13На карте",7 200 000 ₽,1 балкон,,1 пассажирский,,,
233,2-комн. квартира,Вторичка,64,"38,5",12,"2,5 м",1 раздельный,Косметический,2012,Да,Кирпичный,Нет информации,3,Центральное,Нет,1 из 8,"Нижегородская область, Нижний Новгород, р-н Нижегородский, мкр. Печерская долина, ул. Родионова, 193к5На карте",9 100 000 ₽,1 лоджия,,1 пассажирский,,Центральное,
234,3-комн. квартира,Вторичка,"81,9","49,6","12,4",,1 раздельный,Косметический,2008,Да,Блочный,Железобетонные,1,Центральное,Нет,7 из 17,"Нижегородская область, Нижний Новгород, р-н Нижегородский, ул. Родионова, 165к3На карте",10 880 000 ₽,1 балкон,,1 пассажирский,,,Индивидуальный проект
235,2-комн. квартира,Вторичка,"66,4","34,4","11,2",,1 совмещенный,Евроремонт,2009,Да,Кирпичный,Железобетонные,2,Центральное,Нет,5 из 14,"Нижегородская область, Нижний Новгород, р-н Приокский, мкр. Караваиха, ул. Бонч-Бруевича, 8АНа карте",11 800 000 ₽,1 балкон,,"1 пассажирский, 1 грузовой",,,
236,2-комн. квартира,Вторичка,72,34,10,,1 раздельный,Без ремонта,2011,Да,Кирпичный,Железобетонные,1,Центральное,Нет,9 из 10,"Нижегородская область, Нижний Новгород, р-н Советский, мкр. Высоково, ул. Бориса Панина, 5к5На карте",12 500 000 ₽,2 лоджии,,"1 пассажирский, 1 грузовой",,,
237,2-комн. квартира,Вторичка,"75,06","30,9","22,8","2,7 м","1 совмещенный, 1 раздельный",Без ремонта,2023,,,Нет информации,,Нет информации,Нет,2 из 9,"Нижегородская область, Нижний Новгород, р-н Советский, мкр. Высоково, ул. Бориса Панина, 3На карте",14 199 000 ₽,1 лоджия,,"1 пассажирский, 1 грузовой",,,
238,3-комн. квартира,Вторичка,"63,6","39,8",8,,1 раздельный,Евроремонт,1994,,Кирпичный,Железобетонные,4,Центральное,Нет,6 из 6,"Нижегородская область, Нижний Новгород, р-н Ленинский, мкр. Молитовка, ул. Октябрьской Революции, 74На карте",7 750 000 ₽,1 лоджия,,1 пассажирский,,Центральное,
239,1-комн. квартира,Вторичка,"31,4","19,2",6,"2,5 м",1 совмещенный,Косметический,1965,,Кирпичный,Железобетонные,4,Центральное,Нет,5 из 5,"Нижегородская область, Нижний Новгород, р-н Советский, мкр. Тобольские казармы, просп. Гагарина, 56На карте",4 500 000 ₽,,Во двор,,,Центральное,
240,2-комн. квартира,Вторичка,"45,6",28,"5,5","2,55 м",1 совмещенный,,1964,,Блочный,Железобетонные,4,Центральное,Нет,1 из 5,"Нижегородская область, Нижний Новгород, р-н Нижегородский, мкр. Центр, Суетинская ул., 5На карте",5 500 000 ₽,,Во двор,,,Центральное,
241,3-комн. квартира,Вторичка,"104,09","45,4","50,6",,1 совмещенный,Без ремонта,2021,Да,,Нет информации,7,Нет информации,Нет,5 из 6,"Нижегородская область, Нижний Новгород, р-н Нижегородский, мкр. Центр, Большая Покровская ул., 18АНа карте",28 500 000 ₽,1 балкон,,1 пассажирский,,,
242,2-комн. квартира,Вторичка,"45,6","26,5","7,1","2,64 м",1 совмещенный,,2015,Да,,Железобетонные,2,Центральное,Нет,5 из 10,"Нижегородская область, Нижний Новгород, р-н Московский, мкр. Бурнаковский, Бурнаковская ул., 73На карте",7 000 000 ₽,1 лоджия,,1 пассажирский,,,
243,1-комн. квартира,Вторичка,"20,5","10,4","5,1",,1 совмещенный,Косметический,1972,Да,,Нет информации,2,Центральное,Нет,2 из 6,"Нижегородская область, Нижний Новгород, р-н Ленинский, мкр. Молитовка, ул. Профинтерна, 7АНа карте",3 250 000 ₽,,Во двор,,,Центральное,
244,1-комн. квартира,Вторичка,"32,7",17,6,,1 раздельный,Косметический,1981,Да,,Нет информации,6,Центральное,Нет,1 из 9,"Нижегородская область, Нижний Новгород, р-н Ленинский, мкр. Молитовка, ул. Адмирала Макарова, 4к1На картеЛенинская16 мин.Заречная17 мин.Двигатель Революции5 мин.",3 950 000 ₽,,Во двор,1 пассажирский,Наземная,Центральное,
245,1-комн. квартира,Вторичка,33,17,"8,5","2,55 м",1 совмещенный,Без ремонта,1982,,Панельный,Железобетонные,3,Центральное,Нет,1 из 9,"Нижегородская область, Нижний Новгород, р-н Канавинский, мкр. Мещерское озеро, ул. Карла Маркса, 18На картеСтрелка19 мин.Бурнаковская5 мин.Московская5 мин.",4 000 000 ₽,1 лоджия,,1 пассажирский,,Центральное,
246,Студия,Вторичка,"25,3",13,5,,1 совмещенный,,1985,Да,Кирпичный,Железобетонные,1,Центральное,Нет,8 из 9,"Нижегородская область, Нижний Новгород, р-н Нижегородский, мкр. Центр, Нижегородская ул., 10На карте",4 900 000 ₽,,Во двор,2 пассажирских,,,
247,3-комн. квартира,Вторичка,60,44,7,"2,55 м",1 раздельный,Косметический,1975,Да,Панельный,Железобетонные,2,Центральное,Нет,7 из 9,"Нижегородская область, Нижний Новгород, р-н Канавинский, мкр. Мещерское озеро, ул. Сергея Есенина, 7На карте",6 490 000 ₽,1 балкон,,1 пассажирский,,Центральное,
248,1-комн. квартира,Вторичка,"47,4",21,"11,9","2,8 м",1 раздельный,Евроремонт,2012,,Блочный,Железобетонные,3,Индивидуальный тепловой пункт,Нет,11 из 18,"Нижегородская область, Нижний Новгород, р-н Канавинский, мкр. Гордеевский, Тонкинская ул., 14АНа карте",6 550 000 ₽,1 балкон,,"1 пассажирский, 1 грузовой",,,
249,1-комн. квартира,Вторичка,45,17,15,"2,7 м",1 совмещенный,Без ремонта,2021,,Монолитный,Железобетонные,4,Автономная котельная,Нет,7 из 18,"Нижегородская область, Нижний Новгород, р-н Советский, мкр. проспект Гагарина, 2-я Оранжерейная ул., 2к1На карте",7 400 000 ₽,1 лоджия,Во двор,"1 пассажирский, 1 грузовой",,,
250,1-комн. квартира,Вторичка,65,"31,4","19,6",,1 раздельный,Без ремонта,,,Блочный,,,,,6 из 9,"Нижегородская область, Нижний Новгород, р-н Нижегородский, мкр. Центр, Славянская ул., 35к1На карте",17 500 000 ₽,1 лоджия,,2 пассажирских,,,
251,2-комн. квартира,Вторичка,84,29,48,"3,2 м","1 совмещенный, 1 раздельный",Дизайнерский,2015,Да,Блочный,Железобетонные,5,Центральное,Нет,5 из 9,"Нижегородская область, Нижний Новгород, р-н Нижегородский, мкр. Центр, ул. Семашко, 30На карте",31 000 000 ₽,,,"1 пассажирский, 1 грузовой",,,
252,1-комн. квартира,Вторичка,29,"13,3",8,,1 совмещенный,,1917,Да,Кирпичный,Железобетонные,1,Центральное,Нет,7 из 10,"Нижегородская область, Нижний Новгород, р-н Московский, мкр. Авиационный, ул. Чаадаева, 8На карте",3 700 000 ₽,1 балкон,Во двор,1 пассажирский,,Центральное,111-86
253,2-комн. квартира,Вторичка,"40,9","25,8","5,9",,1 совмещенный,,1983,Да,Панельный,Железобетонные,6,Центральное,Нет,1 из 9,"Нижегородская область, Нижний Новгород, р-н Сормовский, мкр. 5-6-7 Сормова, ул. Зайцева, 4На карте",4 199 999 ₽,,,1 пассажирский,,Центральное,
254,2-комн. квартира,Вторичка,47,"32,5","5,2",,1 совмещенный,Евроремонт,1961,,Панельный,Железобетонные,4,Центральное,Нет,2 из 5,"Нижегородская область, Нижний Новгород, р-н Сормовский, мкр. Центр Сормова, Юбилейный бул., 9На карте",5 000 000 ₽,1 балкон,,,,Центральное,
255,1-комн. квартира,Вторичка,"32,7","23,7",4,"2,6 м",1 совмещенный,Дизайнерский,1917,,Кирпичный,Деревянные,2,Центральное,Нет,1 из 3,"Нижегородская область, Нижний Новгород, р-н Нижегородский, мкр. Центр, Варварская ул., 3бНа карте",8 900 000 ₽,,,,,Центральное,
256,2-комн. квартира,Вторичка,"74,3","35,1","13,7","2,8 м",1 раздельный,Дизайнерский,2018,,Блочный,Железобетонные,2,Центральное,Нет,12 из 17,"Нижегородская область, Нижний Новгород, р-н Советский, мкр. Высоково, Ошарская ул., 80На карте",15 700 000 ₽,1 лоджия,На улицу,"1 пассажирский, 1 грузовой",,,
257,1-комн. квартира,Вторичка,"44,14","12,9","20,8","2,8 м",1 совмещенный,Без ремонта,,Да,Монолитно-кирпичный,,,,,14 из 19,"Нижегородская область, Нижний Новгород, р-н Нижегородский, ул. Родионова, 4На карте",8 400 000 ₽,1 лоджия,,1 пассажирский,,,
258,2-комн. квартира,Вторичка,"41,3","25,4","6,5",,1 совмещенный,Косметический,1930,Да,Кирпичный,Деревянные,2,Котел/Квартирное отопление,Нет,1 из 2,"Нижегородская область, Нижний Новгород, р-н Ленинский, мкр. Красная Этна, ул. Лейтенанта Шмидта, 16На карте",2 100 000 ₽,,,,,Центральное,
259,1-комн. квартира,Вторичка,"27,2","16,2",6,,1 совмещенный,Косметический,1931,,,Нет информации,6,Центральное,Нет,2 из 3,"Нижегородская область, Нижний Новгород, р-н Ленинский, мкр. Двигатель Революции, ул. Паскаля, 3На карте",2 620 000 ₽,,,,,Центральное,
260,1-комн. квартира,Вторичка,"29,9","18,9",6,"2,8 м",1 раздельный,Косметический,1931,Да,,Нет информации,6,Центральное,Нет,1 из 3,"Нижегородская область, Нижний Новгород, р-н Ленинский, мкр. Двигатель Революции, ул. Паскаля, 3На карте",2 800 000 ₽,,Во двор,,,Центральное,
261,3-комн. квартира,Вторичка,"26,5","15,5",6,,1 совмещенный,Косметический,1910,Да,,Деревянные,2,Котел/Квартирное отопление,Нет,1 из 2,"Нижегородская область, Нижний Новгород, р-н Канавинский, мкр. Володарского, Муромская ул., 25/12На карте",2 850 000 ₽,,,,,Центральное,
262,2-комн. квартира,Вторичка,"30,8",20,5,,1 совмещенный,Косметический,1958,,Кирпичный,Деревянные,1,Центральное,Нет,1 из 2,"Нижегородская область, Нижний Новгород, р-н Приокский, мкр. Дубенки, ул. Глазунова, 9/16На карте",3 200 000 ₽,,,,,Центральное,
263,1-комн. квартира,Вторичка,21,11,5,"2,5 м",1 совмещенный,,1983,Да,Кирпичный,Железобетонные,1,Центральное,Нет,5 из 9,"Нижегородская область, Нижний Новгород, р-н Автозаводский, мкр. Северный, ул. Пермякова, 16На карте",3 490 000 ₽,1 балкон,,1 пассажирский,,Центральное,1-447
264,1-комн. квартира,Вторичка,46,20,12,,1 совмещенный,Без ремонта,,Да,Монолитно-кирпичный,,,,,1 из 3,"Нижегородская область, Нижний Новгород, р-н Нижегородский, мкр. Верхние Печеры, Верхне-Печерская ул., 65ДНа карте",3 700 000 ₽,,,,,,
265,2-комн. квартира,Вторичка,45,30,6,,1 раздельный,Без ремонта,1969,,Кирпичный,Железобетонные,6,Центральное,Нет,2 из 5,"Нижегородская область, Нижний Новгород, р-н Приокский, Черепичный поселок, 20На карте",3 780 000 ₽,,,,,Центральное,
266,2-комн. квартира,Вторичка,"51,6","28,3",9,,1 совмещенный,Без ремонта,1964,Да,Кирпичный,Деревянные,7,Центральное,Нет,1 из 1,"Нижегородская область, Нижний Новгород, р-н Нижегородский, Яблоневая ул., 15На карте",3 800 000 ₽,,Во двор,,,Центральное,
267,1-комн. квартира,Вторичка,46,20,12,,1 совмещенный,Без ремонта,,,Кирпичный,,,,,1 из 3,"Нижегородская область, Нижний Новгород, р-н Нижегородский, мкр. Верхние Печеры, Верхне-Печерская ул., 65ДНа карте",3 850 000 ₽,,,,,,
268,1-комн. квартира,Вторичка,33,18,"8,2","2,5 м",1 совмещенный,Косметический,1981,Да,Панельный,Железобетонные,6,Центральное,Нет,4 из 9,"Нижегородская область, Нижний Новгород, р-н Автозаводский, мкр. Соцгород, ул. Строкина, 18На карте",4 100 000 ₽,,На улицу,1 пассажирский,,Центральное,1-464
269,2-комн. квартира,Вторичка,"36,9","26,5",4,,1 совмещенный,,1958,,Кирпичный,Деревянные,2,Центральное,Нет,3 из 3,"Нижегородская область, Нижний Новгород, р-н Приокский, мкр. Дубенки, ул. Энергетиков, 9/1На карте",4 280 000 ₽,,,,,Центральное,
270,2-комн. квартира,Вторичка,43,28,"5,5",,1 совмещенный,Косметический,1973,Да,Монолитный,Железобетонные,4,Центральное,Нет,5 из 5,"Нижегородская область, Нижний Новгород, р-н Сормовский, мкр. Вождей Революции, ул. Шимборского, 5На карте",4 380 000 ₽,1 балкон,Во двор,,,Центральное,Индивидуальный проект
271,3-комн. квартира,Вторичка,"56,4","42,9","5,6",,1 раздельный,Без ремонта,1967,,Кирпичный,Железобетонные,4,Центральное,Нет,5 из 5,"Нижегородская область, Нижний Новгород, р-н Приокский, мкр. Щербинки, Кемеровская ул., 18На карте",4 550 000 ₽,1 балкон,,,,Центральное,
272,2-комн. квартира,Вторичка,43,"27,4","6,9","2,5 м",1 раздельный,,1981,,Панельный,Железобетонные,4,Центральное,Нет,4 из 9,"Нижегородская область, Нижний Новгород, р-н Автозаводский, мкр. Мончегорский, ул. Мончегорская, 29На карте",4 630 000 ₽,1 лоджия,,1 пассажирский,,Центральное,1-464
273,2-комн. квартира,Вторичка,"46,5","31,1","5,6","2,5 м",1 совмещенный,Без ремонта,1965,,Панельный,Железобетонные,4,Центральное,Нет,2 из 5,"Нижегородская область, Нижний Новгород, р-н Автозаводский, мкр. 6, Южное ш., 54На карте",4 680 000 ₽,,Во двор,,,Центральное,1-464А
274,2-комн. квартира,Вторичка,"46,3","28,4","8,6",3 м,1 раздельный,Косметический,1958,Да,Блочный,Железобетонные,4,Центральное,Нет,5 из 5,"Нижегородская область, Нижний Новгород, р-н Ленинский, мкр. Двигатель Революции, ул. Подводников, 31На карте",4 750 000 ₽,1 балкон,,1 пассажирский,,Центральное,
275,3-комн. квартира,Вторичка,"54,1","34,3","6,9",,1 совмещенный,,1949,,,Нет информации,2,Центральное,Нет,1 из 2,"Нижегородская область, Нижний Новгород, р-н Автозаводский, мкр. Соцгород, ул. Толбухина, 18На карте",4 800 000 ₽,,,,,Центральное,
276,2-комн. квартира,Вторичка,"44,7","30,6","5,5",,1 совмещенный,Без ремонта,1964,,,Нет информации,6,Центральное,Нет,3 из 5,"Нижегородская область, Нижний Новгород, р-н Ленинский, мкр. Молитовка, просп. Ленина, 24БНа карте",4 949 999 ₽,"1 лоджия, 1 балкон",На улицу,,,Центральное,
277,3-комн. квартира,Вторичка,57,"38,2","8,7","2,6 м",1 раздельный,Без ремонта,1977,,Панельный,Железобетонные,4,Центральное,Нет,1 из 9,"Нижегородская область, Нижний Новгород, р-н Приокский, мкр. Щербинки, ул. Маршала Голованова, 37На карте",4 990 000 ₽,,,1 пассажирский,,Центральное,
278,3-комн. квартира,Вторичка,59,"43,5","6,1",,1 совмещенный,Косметический,1933,,,Нет информации,2,Центральное,Нет,1 из 3,"Нижегородская область, Нижний Новгород, р-н Сормовский, мкр. Володарский, Силикатная ул., 9На карте",5 090 000 ₽,,,,,Центральное,
279,3-комн. квартира,Вторичка,"57,9","45,3","5,9",,1 совмещенный,Без ремонта,1969,Да,,Нет информации,,Нет информации,Нет,1 из 5,"Нижегородская область, Нижний Новгород, р-н Ленинский, мкр. Молитовка, просп. Ленина, 28к6На карте",5 150 000 ₽,,,,,,
280,1-комн. квартира,Вторичка,"35,1","16,9",6,"2,5 м",1 совмещенный,Без ремонта,1977,Да,Панельный,Железобетонные,1,Центральное,Нет,5 из 9,"Нижегородская область, Нижний Новгород, р-н Московский, мкр. Орджоникидзе, ул. Чаадаева, 43На картеБуревестник9 мин.Бурнаковская10 мин.Канавинская11 мин.",3 800 000 ₽,1 лоджия,На улицу,1 пассажирский,Наземная,Центральное,1-464
281,2-комн. квартира,Вторичка,"43,3",32,7,"2,5 м",1 раздельный,Евроремонт,1977,Да,Панельный,Железобетонные,3,Центральное,Нет,2 из 9,"Нижегородская область, Нижний Новгород, р-н Автозаводский, мкр. Автозавод, ул. Старых Производственников, 19На картеПарк культуры4 мин.Кировская5 мин.Комсомольская7 мин.",7 000 000 ₽,1 лоджия,Во двор,1 пассажирский,Наземная,Центральное,1-464
282,3-комн. квартира,Вторичка,"65,4","45,1","6,9",,1 раздельный,Косметический,1940,,Кирпичный,Железобетонные,3,Центральное,Нет,2 из 5,"Нижегородская область, Нижний Новгород, р-н Московский, мкр. Московский проспект, Московское ш., 77На карте",6 400 000 ₽,1 балкон,,,,Центральное,
283,1-комн. квартира,Вторичка,"31,9","16,7","6,6",,1 совмещенный,Без ремонта,1974,Да,,Нет информации,1,Центральное,Нет,9 из 9,"Нижегородская область, Нижний Новгород, р-н Ленинский, мкр. Красная Этна, ул. Премудрова, 18к1На карте",3 700 000 ₽,1 балкон,,1 пассажирский,,Центральное,
284,2-комн. квартира,Вторичка,"38,1","26,7",5,,1 совмещенный,Без ремонта,1958,,Кирпичный,Деревянные,2,Котел/Квартирное отопление,Нет,1 из 2,"Нижегородская область, Нижний Новгород, р-н Ленинский, мкр. Молитовка, Сухопутная ул., 1АНа карте",2 950 000 ₽,,,,,Центральное,
285,2-комн. квартира,Вторичка,"45,6",28,7,,1 раздельный,Косметический,1926,,,Деревянные,7,Центральное,Нет,1 из 1,"Нижегородская область, Нижний Новгород, р-н Ленинский, мкр. Красная Этна, Волочильная ул., 1На карте",2 600 000 ₽,,,,,Центральное,
286,3-комн. квартира,Вторичка,54,40,6,3 м,3 совмещенных,Дизайнерский,1992,,Кирпичный,Деревянные,2,Нет информации,Нет,1 из 4,"Нижегородская область, Нижний Новгород, р-н Канавинский, мкр. Канавино, Витебская ул., 50На картеЧкаловская3 мин.Ленинская15 мин.Московская16 мин.",6 000 000 ₽,,Во двор,,Наземная,Центральное,
287,2-комн. квартира,Вторичка,"69,5","33,3","14,4","2,9 м",1 раздельный,Без ремонта,2023,Да,,Нет информации,,Нет информации,Нет,10 из 22,"Нижегородская область, Нижний Новгород, р-н Советский, мкр. проспект Гагарина, ул. Тимирязева, 9к2На карте",10 700 000 ₽,2 балкона,,"1 пассажирский, 1 грузовой",,,
288,1-комн. квартира,Вторичка,"20,4",11,"4,4",,1 совмещенный,Косметический,1977,Да,Кирпичный,Железобетонные,1,Центральное,Нет,9 из 9,"Нижегородская область, Нижний Новгород, р-н Автозаводский, мкр. Мончегорский, ул. Мончегорская, 16АНа карте",2 700 000 ₽,,,1 пассажирский,,Центральное,1-447
289,4-комн. квартира,Вторичка,"63,4","46,6","5,7",,1 раздельный,Косметический,1968,,Кирпичный,Железобетонные,8,Центральное,Нет,2 из 5,"Нижегородская область, Нижний Новгород, р-н Автозаводский, мкр. Соцгород, Моторный пер., 4к1На карте",5 400 000 ₽,1 балкон,,,,Центральное,1-447
290,3-комн. квартира,Вторичка,"55,5","41,5",6,,1 совмещенный,Евроремонт,1960,Да,Кирпичный,Железобетонные,3,Центральное,Нет,5 из 5,"Нижегородская область, Нижний Новгород, р-н Канавинский, мкр. 15-й квартал, Московское ш., 130На карте",5 900 000 ₽,1 балкон,,1 пассажирский,,Центральное,
291,1-комн. квартира,Вторичка,"29,5","17,9","5,4",,1 раздельный,Косметический,1979,Да,Кирпичный,Железобетонные,1,Центральное,Нет,8 из 9,"Нижегородская область, Нижний Новгород, р-н Приокский, мкр. Щербинки, ул. Маршала Голованова, 69На карте",3 950 000 ₽,,,1 пассажирский,,Центральное,
292,1-комн. квартира,Вторичка,47,"16,5","13,7","2,8 м",1 совмещенный,Без ремонта,2020,Да,Кирпичный,Железобетонные,8,Индивидуальный тепловой пункт,Нет,5 из 10,"Нижегородская область, Нижний Новгород, р-н Советский, мкр. проспект Гагарина, ул. Маршала Баграмяна, 4На карте",9 400 000 ₽,1 балкон,,"2 пассажирских, 1 грузовой",,,
293,2-комн. квартира,Вторичка,"46,5","31,1","5,6","2,5 м",1 совмещенный,Без ремонта,1965,,Панельный,Железобетонные,4,Центральное,Нет,2 из 5,"Нижегородская область, Нижний Новгород, р-н Автозаводский, мкр. 6, Южное ш., 54На карте",4 680 000 ₽,,Во двор,,,Центральное,1-464А
294,2-комн. квартира,Вторичка,70,"32,6",11,,1 раздельный,,2006,Да,Кирпичный,Железобетонные,5,Центральное,Нет,2 из 10,"Нижегородская область, Нижний Новгород, р-н Нижегородский, мкр. Печерская долина, ул. Родионова, 193к2На карте",11 500 000 ₽,1 лоджия,,1 пассажирский,,Центральное,
